,0,1,2,3,4,5,6
318,2021-05-01 17:31:31,内蒙古,境外输入,275,0,273,0
319,2021-05-01 17:31:31,内蒙古,呼伦贝尔,37,0,37,0
320,2021-05-01 17:31:31,内蒙古,包头,11,0,11,0
321,2021-05-01 17:31:31,内蒙古,呼和浩特,7,0,7,0
322,2021-05-01 17:31:31,内蒙古,乌兰察布,3,0,3,0
323,2021-05-01 17:31:31,内蒙古,赤峰,9,0,9,0
324,2021-05-01 17:31:31,内蒙古,锡林郭勒,9,0,9,0
325,2021-05-01 17:31:31,内蒙古,通辽,7,0,7,0
326,2021-05-01 17:31:31,内蒙古,鄂尔多斯,11,0,11,0
327,2021-05-01 17:31:31,内蒙古,巴彦淖尔,8,0,7,1
328,2021-05-01 17:31:31,内蒙古,兴安盟,1,0,1,0
329,2021-05-01 17:31:31,内蒙古,乌海,2,0,2,0
330,2021-05-01 17:31:31,甘肃,境外输入,101,0,100,0
331,2021-05-01 17:31:31,甘肃,白银,4,0,4,0
332,2021-05-01 17:31:31,甘肃,定西,9,0,9,0
333,2021-05-01 17:31:31,甘肃,地区待确认,0,0,0,0
334,2021-05-01 17:31:31,甘肃,平凉,9,0,9,0
335,2021-05-01 17:31:31,甘肃,庆阳,3,0,3,0
336,2021-05-01 17:31:31,甘肃,兰州,37,0,35,2
337,2021-05-01 17:31:31,甘肃,甘南州,8,0,8,0
338,2021-05-01 17:31:31,甘肃,天水,12,0,12,0
339,2021-05-01 17:31:31,甘肃,陇南,4,0,4,0
340,2021-05-01 17:31:31,甘肃,张掖,2,0,2,0
341,2021-05-01 17:31:31,甘肃,临夏,3,0,3,0
342,2021-05-01 17:31:31,甘肃,金昌,1,0,1,0
343,2021-05-01 17:31:31,贵州,境外输入,1,0,1,0
344,2021-05-01 17:31:31,贵州,贵阳,36,0,35,1
345,2021-05-01 17:31:31,贵州,遵义,32,0,32,0
346,2021-05-01 17:31:31,贵州,六盘水,10,0,9,1
347,2021-05-01 17:31:31,贵州,毕节,23,0,23,0
348,2021-05-01 17:31:31,贵州,黔南州,17,0,17,0
349,2021-05-01 17:31:31,贵州,安顺,4,0,4,0
350,2021-05-01 17:31:31,贵州,黔东南州,10,0,10,0
351,2021-05-01 17:31:31,贵州,铜仁,10,0,10,0
352,2021-05-01 17:31:31,贵州,黔西南州,4,0,4,0
353,2021-05-01 17:31:31,河北,石家庄,898,0,897,1
354,2021-05-01 17:31:31,河北,邢台,94,0,93,1
355,2021-05-01 17:31:31,河北,保定,49,0,49,0
356,2021-05-01 17:31:31,河北,地区待确认,0,0,0,0
357,2021-05-01 17:31:31,河北,廊坊,33,0,33,0
358,2021-05-01 17:31:31,河北,境外输入,36,0,36,0
359,2021-05-01 17:31:31,河北,沧州,49,0,46,3
360,2021-05-01 17:31:31,河北,张家口,43,0,43,0
361,2021-05-01 17:31:31,河北,唐山,58,0,57,1
